age,income_gtq,monthly_visits,city,has_kids,churn
25,4500,5,Guatemala City,no,0
34,7200,12,Antigua,yes,0
29,3800,8,Quetzaltenango,no,1
42,9000,15,Guatemala City,yes,0
37,6100,10,Cobán,no,0
31,5000,7,Antigua,yes,1
53,12000,4,Guatemala City,yes,0
46,8000,6,Quetzaltenango,no,0
28,4000,9,Antigua,no,1
39,7000,13,Cobán,yes,0
22,3000,3,Guatemala City,no,1
33,6500,11,Antigua,yes,0
45,8500,16,Quetzaltenango,yes,0
36,5600,14,Cobán,no,1
27,4200,2,Guatemala City,no,0
41,7800,10,Antigua,yes,0
30,4800,6,Quetzaltenango,no,1
50,11000,5,Cobán,yes,0
26,3900,7,Guatemala City,no,1
38,6900,12,Antigua,yes,0
24,3200,1,Quetzaltenango,no,1
35,6000,9,Cobán,yes,0
40,7500,8,Guatemala City,yes,0
32,5200,6,Antigua,no,1
44,8300,15,Quetzaltenango,yes,0
29,4100,3,Cobán,no,1
48,9500,7,Guatemala City,yes,0
43,8700,10,Antigua,no,0
31,5100,5,Quetzaltenango,yes,1
27,4300,4,Cobán,no,1
52,11500,9,Guatemala City,yes,0
39,7050,13,Antigua,no,0
28,4050,8,Quetzaltenango,no,1
46,8200,6,Cobán,yes,0
25,4600,5,Guatemala City,no,0
34,7250,12,Antigua,yes,0
29,3850,8,Quetzaltenango,no,1
42,9050,15,Guatemala City,yes,0
37,6150,10,Cobán,no,0
31,5050,7,Antigua,yes,1
53,12050,4,Guatemala City,yes,0
46,8050,6,Quetzaltenango,no,0
28,4025,9,Antigua,no,1
39,7025,13,Cobán,yes,0
22,3050,3,Guatemala City,no,1
33,6550,11,Antigua,yes,0
45,8550,16,Quetzaltenango,yes,0
36,5650,14,Cobán,no,1
27,4250,2,Guatemala City,no,0
41,7850,10,Antigua,yes,0
30,4850,6,Quetzaltenango,no,1
50,11050,5,Cobán,yes,0
26,3950,7,Guatemala City,no,1
38,6950,12,Antigua,yes,0
24,3250,1,Quetzaltenango,no,1
35,6050,9,Cobán,yes,0
40,7550,8,Guatemala City,yes,0
32,5250,6,Antigua,no,1
44,8350,15,Quetzaltenango,yes,0
29,4150,3,Cobán,no,1
48,9550,7,Guatemala City,yes,0
43,8750,10,Antigua,no,0
31,5150,5,Quetzaltenango,yes,1
27,4350,4,Cobán,no,1
52,11550,9,Guatemala City,yes,0
39,7100,13,Antigua,no,0
28,4100,8,Quetzaltenango,no,1
46,8250,6,Cobán,yes,0
25,4650,5,Guatemala City,no,0
34,7300,12,Antigua,yes,0
29,3900,8,Quetzaltenango,no,1
42,9100,15,Guatemala City,yes,0
37,6200,10,Cobán,no,0
31,5100,7,Antigua,yes,1
53,12100,4,Guatemala City,yes,0
46,8100,6,Quetzaltenango,no,0
28,4075,9,Antigua,no,1
39,7075,13,Cobán,yes,0
22,3100,3,Guatemala City,no,1
33,6600,11,Antigua,yes,0
45,8600,16,Quetzaltenango,yes,0
36,5700,14,Cobán,no,1
27,4300,2,Guatemala City,no,0
41,7900,10,Antigua,yes,0
30,4900,6,Quetzaltenango,no,1
50,11100,5,Cobán,yes,0
26,4000,7,Guatemala City,no,1
38,7000,12,Antigua,yes,0
24,3300,1,Quetzaltenango,no,1
35,6100,9,Cobán,yes,0
40,7600,8,Guatemala City,yes,0
32,5300,6,Antigua,no,1
44,8400,15,Quetzaltenango,yes,0
29,4200,3,Cobán,no,1
48,9600,7,Guatemala City,yes,0
43,8800,10,Antigua,no,0
31,5200,5,Quetzaltenango,yes,1
27,4400,4,Cobán,no,1
52,11600,9,Guatemala City,yes,0
39,7150,13,Antigua,no,0
28,4150,8,Quetzaltenango,no,1
46,8300,6,Cobán,yes,0
