age,income_gtq,monthly_visits,city,has_kids,churn
21,5835.42,7,Quetzaltenango,no,1
73,10420.7,35,Escuintla,yes,0
64,3792.83,2,Antigua,no,1
47,7162.79,19,Quetzaltenango,no,0
47,8406.88,17,Quetzaltenango,yes,0
79,9465.56,11,Antigua,no,0
21,9778.07,-2,Escuintla,no,1
67,9983.37,30,Escuintla,no,0
30,7128.19,12,Cobán,no,0
22,6844.12,25,Cobán,yes,0
54,10144.94,15,Escuintla,no,0
88,7521.74,13,Escuintla,yes,0
70,4810.78,35,Quetzaltenango,no,0
72,5166.78,1,Antigua,no,1
68,5701.37,28,Guatemala City,yes,0
73,9242.9,29,Quetzaltenango,yes,0
53,8356.06,13,Cobán,yes,0
24,9726.21,9,Antigua,yes,0
77,6931.87,-2,Guatemala City,yes,1
48,8396.35,37,Escuintla,yes,0
52,9563.98,37,Cobán,yes,0
42,7226.63,8,Cobán,yes,0
28,9141.94,-1,Quetzaltenango,no,1
84,6345.19,3,Antigua,yes,1
73,7092.37,0,Antigua,yes,1
63,7045.66,32,Quetzaltenango,yes,0
45,5010.4,35,Quetzaltenango,no,0
76,9217.43,4,Quetzaltenango,yes,1
55,6826.49,29,Cobán,no,0
48,8031.24,5,Escuintla,yes,1
48,9201.87,13,Cobán,yes,0
32,9116.33,23,Cobán,yes,0
21,9663.46,28,Cobán,yes,0
56,7753.79,34,Guatemala City,no,0
81,6941.75,-1,Cobán,yes,1
19,7800.7,6,Guatemala City,yes,1
79,3781.66,9,Antigua,no,1
77,4382.22,11,Antigua,no,0
35,4693.25,39,Quetzaltenango,no,0
62,5506.88,30,Guatemala City,no,0
27,8999.44,11,Guatemala City,no,1
71,5736.3,38,Cobán,yes,0
67,7054.59,18,Quetzaltenango,no,0
41,11248.07,19,Quetzaltenango,yes,0
20,7109.34,16,Cobán,yes,0
87,9843.79,4,Guatemala City,no,1
48,5665.96,37,Cobán,no,0
81,7486.41,-2,Cobán,no,1
65,5624.94,5,Antigua,yes,1
73,7152.42,7,Guatemala City,no,1
71,10100.77,9,Guatemala City,yes,0
29,3681.7,3,Quetzaltenango,no,1
42,9086.06,-2,Antigua,no,1
50,8594.34,26,Guatemala City,no,0
52,6514.63,38,Antigua,no,0
18,4384.86,3,Guatemala City,no,1
55,8180.32,10,Antigua,yes,1
26,6676.27,19,Guatemala City,yes,0
70,8581.69,36,Escuintla,yes,0
66,8054.63,27,Guatemala City,no,0
84,12004.45,30,Guatemala City,yes,0
70,7401.61,22,Guatemala City,yes,0
42,5441.26,15,Cobán,no,0
87,8448.19,6,Guatemala City,no,1
45,8549.99,34,Antigua,no,0
39,11397.97,31,Antigua,no,0
82,10087.78,-1,Antigua,no,1
42,8892.18,28,Escuintla,yes,0
20,11658.26,1,Cobán,no,1
50,5028.09,29,Quetzaltenango,no,0
74,6400.62,32,Cobán,no,0
29,5683.56,3,Quetzaltenango,yes,1
49,7025.48,16,Cobán,no,0
24,4558.28,3,Antigua,no,1
66,9587.88,21,Escuintla,no,0
50,7444.44,36,Cobán,yes,0
39,4322.98,1,Escuintla,no,1
32,5461.05,14,Cobán,no,0
57,8783.78,38,Antigua,no,0
65,10095.32,10,Guatemala City,yes,0
85,12991.83,3,Antigua,no,1
47,15284.66,18,Guatemala City,no,0
27,9036.02,19,Cobán,yes,0
77,5526.15,25,Quetzaltenango,no,0
62,2669.88,11,Quetzaltenango,yes,1
67,8669.28,38,Quetzaltenango,no,0
22,5967.65,19,Escuintla,yes,0
38,6961.61,10,Antigua,no,1
72,6469.76,38,Cobán,no,0
77,7648.02,36,Antigua,no,0
47,10664.95,18,Quetzaltenango,no,0
75,8392.62,-1,Guatemala City,no,1
78,7603.41,23,Guatemala City,yes,0
44,5410.87,21,Quetzaltenango,yes,0
82,3813.29,4,Cobán,no,1
36,6784.23,24,Antigua,no,0
32,7865.54,33,Cobán,yes,0
66,12419.82,2,Guatemala City,yes,1
62,8325.69,28,Guatemala City,no,0
25,10456.85,3,Cobán,no,1
77,6751.76,29,Guatemala City,yes,0
29,5037.64,15,Guatemala City,yes,0
75,5587.21,-2,Antigua,yes,1
15,6186.93,38,Cobán,no,0
74,13321.17,4,Escuintla,yes,0
74,5946.53,23,Guatemala City,no,0
73,10096.22,5,Cobán,yes,1
64,5742.68,37,Cobán,yes,0
50,10328.93,29,Cobán,no,0
67,8962.38,31,Cobán,no,0
35,7608.41,16,Quetzaltenango,no,0
73,7898.09,17,Cobán,no,0
56,6363.03,24,Quetzaltenango,no,0
49,9115.18,30,Cobán,no,0
52,6862.54,33,Antigua,no,0
57,4935.99,-2,Escuintla,yes,1
17,4805.16,25,Escuintla,yes,0
25,8431.47,2,Escuintla,no,1
33,11947.73,10,Escuintla,yes,1
23,8399.98,32,Escuintla,no,0
